Nome,Cidade,WhatsApp,Instagram,Perfil,Dor Principal
Vivari Beach Club,Maceió,(82) 99194-6262,@vivaribeachclub,Beach Club,Ipioca. Foco em luxo e atendimento personalizado em lounges.
Praia do Pepê (Quiosques),Rio de Janeiro,Vários Contatos,Vários,Quiosques,Concentração de quiosques de alto padrão na Barra.
Blue Beach Club,Salvador,(71) 99650-4242,@bluebeachclub,Beach Club,Praia do Flamengo. Área de lazer com piscina e deck.
Barraca do Joca,Fortaleza,(85) 3262-1010,@barracadojoca,Pé na Areia,Estrutura gigante na Praia do Futuro.
Terraço Itália,São Paulo,(11) 2189-2929,@terracoitalia,Rooftop,Referência histórica. Vários salões e andares.
Seen RJ,Rio de Janeiro,Contatar IG,@seen_rj,Rooftop,Rooftop no topo do hotel. Fluxo de happy hour intenso.
Restaurante Reserva Tambá,São Sebastião,(12) 3862-6688,@reservatamba,Pé na Areia,Toque Toque Pequeno. Mesas na areia sob árvores.
Giselle Restaurante,São Sebastião,(12) 3865-1100,@gisellerestaurante,Pé na Areia,Maresias. Atendimento premium na areia.
Allmirante Bar,Ilhabela,(12) 99777-0000,@allmirante_bar,Deck Orla,Debruçado sobre o mar. Mesas em diferentes níveis de deck.
Sky Hall Rooftop,São Paulo,(11) 93246-1234,@skyhallrooftop,Rooftop,Jardins. Área externa muito grande com vários bares.
A Figueira Rubaiyat,São Paulo,(11) 3087-1399,@afigueirarubaiyat,Área Externa,Salão imenso sob a árvore centenária.
Parador Estaleiro Hotel,Balneário Camboriú,(47) 3363-5000,@paradorestaleiro,Beach Club,Day use de luxo na Praia do Estaleiro.
Warung Beach Club,Itajaí,(47) 3348-7137,@warungbeachclub,Beach Club,Templo da eletrônica com áreas vips extensas.
Bravamare,Itajaí,Contatar IG,@bravamare,Beach Club,Praia Brava. Restaurante com pé na areia e deck.
Belmond Copacabana Palace (Piscina),Rio de Janeiro,(21) 2548-7070,@belmondcopacabanapalace,Área Externa,Atendimento em espreguiçadeiras na piscina icônica.
Quiosque do Português,Rio de Janeiro,(21) 98888-0000,@quiosquedoportugues,Quiosque Orla,Famoso pelas batidas. Fluxo intenso de balcão.
Pobre Juan (Terraço),Várias Cidades,Vários Contatos,@restaurantepobrejuan,Restaurante Grande,Unidades em shoppings com terraços amplos.
Coco Bambu (Grandes Unidades),Várias Cidades,Vários Contatos,@cocobambuoficial,Restaurante Grande,Unidades que parecem estádios. Atendimento complexo.
Madero Container (Estradas),Várias Cidades,Vários Contatos,@maderobrasil,Área Externa,Fluxo rápido e mesas externas.
Musa São Conrado,Rio de Janeiro,Contatar IG,@musa.quiosque,Quiosque Orla,Quiosque moderno com deck em São Conrado.
Selina Lapa (Rooftop),Rio de Janeiro,Contatar IG,@selinalapa,Rooftop,Ambiente descontraído na Lapa com vista.
Maní Manioca,São Paulo,(11) 3085-4148,@manimanioca,Área Externa,Jardim e área externa com fluxo constante.
Banana da Terra,Paraty,(24) 3371-1727,@bananadaterraparaty,Centro Histórico,Mesas no casarão e rua. Fluxo de turistas.
Restaurante do Turquinho,Ubatuba,(12) 3832-1234,@restaurantedoturquinho,Pé na Areia,Praia do Lazaro. Atendimento em extensa área de sombra.
Casa do Saulo (Rooftop),Belém,Contatar IG,@casadosaulo,Rooftop,Restaurante premiado com vista para o rio.
Jamile Restaurante (Rooftop),São Paulo,(11) 3327-7152,@jamile_restaurante,Rooftop,Bixiga. Rooftop badalado com vista da cidade.
Goose Island Brewhouse,São Paulo,(11) 2886-9858,@gooseislandbr,Área Externa,Pinheiros. Terraço imenso com fluxo de happy hour.
Vaca Veia,São Paulo,(11) 3093-4341,@vacaveia,Área Externa,Itaim. Fluxo de calçada e bar interno muito intenso.
